split,chip_id,role,source_layer,source_object,source_url,local_path,source_size_bytes,sha256
train,1127821,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1127821_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1127821_S1Weak.tif,raw/train/images/1127821.tif,1658603,736890f197c23252c0bc9a4e3d1b1228e3a08ac5a101e99f46861760f10d42d9
train,1127821,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1127821_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1127821_S1OtsuLabelWeak.tif,raw/train/labels/1127821.tif,1758,b7c5a9bb74507be7191042003aa2982618ccbe900f86771bc2f1c3ed528862c2
train,1231646,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1231646_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1231646_S1Weak.tif,raw/train/images/1231646.tif,1656947,ea05916ca0b709799285d167db0cd81cc46f3139038311d3bf1077cb723d7c02
train,1231646,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1231646_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1231646_S1OtsuLabelWeak.tif,raw/train/labels/1231646.tif,2917,16c4a17b132fee75f382998c517d9036892123482d24209fe9211be634e314b9
train,1276687,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1276687_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1276687_S1Weak.tif,raw/train/images/1276687.tif,1668648,2901bb8c9888401031b38af47fe7e7ca8cd0c02016be477c5559715c8980a74a
train,1276687,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1276687_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1276687_S1OtsuLabelWeak.tif,raw/train/labels/1276687.tif,2732,cf15138f766317b28dba0562778ecee4a0ede6e91ac3a8828b55a25da95a393c
train,1285249,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1285249_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1285249_S1Weak.tif,raw/train/images/1285249.tif,1684993,71654031c7ba0800b58c95430b0750f0acb67eaa26ce3afd4d49c1df58b6a9d0
train,1285249,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1285249_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1285249_S1OtsuLabelWeak.tif,raw/train/labels/1285249.tif,2042,2f84d69bb7aad9fb4b085303a89fccf97183341979b698b2508dc8eeb611e5c5
train,132918,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_132918_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_132918_S1Weak.tif,raw/train/images/132918.tif,1660411,d0a2990381a320969f302e397604f9b1efc89b48eba394c9da07d655f3661b4b
train,132918,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_132918_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_132918_S1OtsuLabelWeak.tif,raw/train/labels/132918.tif,2788,d7089393527d12a05516d5213a9fad42c1d9f4b974c4856db2c8a7ccfabb8b68
train,1335806,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1335806_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1335806_S1Weak.tif,raw/train/images/1335806.tif,1659276,fe2225df9cbc60411c5d8fadef12a9f672ed21a5f428049c7a34942c2ae4f5de
train,1335806,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1335806_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1335806_S1OtsuLabelWeak.tif,raw/train/labels/1335806.tif,4281,ce6664304c1cb2c5275c02dd3a9496360d8378142fb7157085deaa2f1aba7297
train,1340789,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1340789_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1340789_S1Weak.tif,raw/train/images/1340789.tif,1660188,bd908ea1158c386c4ef683b7731f66ac32314873484582da6defbce1ff454cb9
train,1340789,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1340789_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1340789_S1OtsuLabelWeak.tif,raw/train/labels/1340789.tif,4570,b2935d6bd6352a152d731ca0f2d6a877b773088986db53585e75a50861738ab3
train,1348160,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1348160_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1348160_S1Weak.tif,raw/train/images/1348160.tif,1657221,b42df0a9833464103d93bf40d7b9228ef187c33e0c18b7b3e8823859c52af3d2
train,1348160,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1348160_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1348160_S1OtsuLabelWeak.tif,raw/train/labels/1348160.tif,7095,d1f40b2356ef3a9c7fca6b4f10555fe8bcac648c2ad44fa8db96a67d6ac2095e
train,1364095,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1364095_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1364095_S1Weak.tif,raw/train/images/1364095.tif,1658914,e0704de44c1ac47dc59c0f4c58a50238c68624ef342b8c5d62d23d8470d1cc26
train,1364095,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1364095_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1364095_S1OtsuLabelWeak.tif,raw/train/labels/1364095.tif,2926,1ab6cd8d631d46c0aeaa822189bf6a84a7815154e91707214da11d6d51c044c3
train,137760,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_137760_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_137760_S1Weak.tif,raw/train/images/137760.tif,1666938,06320a56477689c1414eadd8864808dd2d47b68b231cbdcf543a34bc721662b6
train,137760,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_137760_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_137760_S1OtsuLabelWeak.tif,raw/train/labels/137760.tif,8968,7203ebd70782d416300613b2dd7ee6568a7bad3602d800dea62e8f5d01f3d791
train,1391250,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1391250_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1391250_S1Weak.tif,raw/train/images/1391250.tif,1653886,847ede335d240325e0517f2c28ab86ad6d435041e28925e1bcb4ff32e9590e31
train,1391250,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1391250_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1391250_S1OtsuLabelWeak.tif,raw/train/labels/1391250.tif,3733,11a6a51f75ec6cfe36b864dd1b7ccf7ba24bb269f3ef7f5a2e3c63fef1342011
train,1451957,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1451957_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1451957_S1Weak.tif,raw/train/images/1451957.tif,1677228,69a2bc1f153a1437eef258cad10c2aec9206fe3dcd930cf37d6d7ca94189a1ed
train,1451957,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1451957_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1451957_S1OtsuLabelWeak.tif,raw/train/labels/1451957.tif,1099,a3acaaa62abbfd1782423a9bb6cfad70efed5fd14fa5ebd3ca40703347aaa57a
train,1490772,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1490772_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1490772_S1Weak.tif,raw/train/images/1490772.tif,1662415,422a05db0493e78bf10f0f24749290171b2d5e08c8cb3750096b78315fc4b35a
train,1490772,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1490772_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1490772_S1OtsuLabelWeak.tif,raw/train/labels/1490772.tif,1781,7f519bf96adabcf9df3c74a0da3c091c75ad9e952064b242d31b2fc6de4439e1
train,1497685,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1497685_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1497685_S1Weak.tif,raw/train/images/1497685.tif,1660631,0869816f365c279dbd34d8ac8b478cea002d89524af785e30c99d27de0beb7bc
train,1497685,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1497685_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1497685_S1OtsuLabelWeak.tif,raw/train/labels/1497685.tif,3881,8ffe73de10f3658f8ff91030375bdc000c96a93697648528c110df43311fa1c3
train,1520545,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1520545_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1520545_S1Weak.tif,raw/train/images/1520545.tif,1684208,42b8fdce72960792d33237213700f239f847c4a769b495453f0c527921a08e19
train,1520545,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1520545_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1520545_S1OtsuLabelWeak.tif,raw/train/labels/1520545.tif,1981,f187db4897069391f85f5481d34b1a78ce5758db032ec01d1df45c18d9847cc1
train,1546633,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1546633_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1546633_S1Weak.tif,raw/train/images/1546633.tif,1654222,02df30d09accae99a92097c5ccd9bd93312153b508321871a634c5672856518c
train,1546633,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1546633_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1546633_S1OtsuLabelWeak.tif,raw/train/labels/1546633.tif,3684,9f896fce35d4b2201cf195c2556dcc7d4bd28d743fd53d1cd3ced13d980bb33d
train,155149,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_155149_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_155149_S1Weak.tif,raw/train/images/155149.tif,1669205,528ad14de28c1495c5f60543d830dccbded50b3767d6e997b7b4ae931e3265f8
train,155149,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_155149_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_155149_S1OtsuLabelWeak.tif,raw/train/labels/155149.tif,10782,18044d65377922a671c4bef5ae10fb9fcf22be6c1656b31d7c6a5ea11d32190b
train,1572842,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1572842_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1572842_S1Weak.tif,raw/train/images/1572842.tif,1657666,0be32eccc7d7d7d6664cac9c91f5bdd26942fe5d696960daf913ac7c4f83c054
train,1572842,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1572842_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1572842_S1OtsuLabelWeak.tif,raw/train/labels/1572842.tif,6121,5222308505158a23f1bcbb069e73a56b12310b70951b88f470fdcdd9d42608d2
train,1601050,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1601050_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1601050_S1Weak.tif,raw/train/images/1601050.tif,1666396,0cb27578fd4cdf6fb724046d6799326848e5feff82b260cb5f9cef7bebad03e5
train,1601050,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1601050_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1601050_S1OtsuLabelWeak.tif,raw/train/labels/1601050.tif,3881,0846211b9a917c56aa9a2a3b80878f3c6a2cd8297573ee22fb1c5e3600cad140
train,1602986,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1602986_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1602986_S1Weak.tif,raw/train/images/1602986.tif,1677908,24f9d156a6a61a1bd9634a4eb62120a7180ac6cf70bcb738803dd220d3be81ad
train,1602986,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1602986_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1602986_S1OtsuLabelWeak.tif,raw/train/labels/1602986.tif,1565,e56ab23949aa8a73eabf05718c4373195d9eb46c55bc974cf5be157e7ae70bc7
train,1611403,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1611403_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1611403_S1Weak.tif,raw/train/images/1611403.tif,1674962,6b7df031b60a24a9ac60644ceea4a9683e5edfd8f06733a4b578032a28961f91
train,1611403,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1611403_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1611403_S1OtsuLabelWeak.tif,raw/train/labels/1611403.tif,1099,41769054b7c797becb2ac5b4b93eefedc04168f0e7ec61d3ebd505b81d93a4de
train,1658730,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1658730_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1658730_S1Weak.tif,raw/train/images/1658730.tif,1667887,0dc303f8f683ce32082375738efb82c22adbef95aad4d426e7b6e1a05188fabe
train,1658730,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1658730_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1658730_S1OtsuLabelWeak.tif,raw/train/labels/1658730.tif,1993,31348639d07f92b90e399802702fb161a70c21bc7f977bd5d15c132fa46606ff
train,1660546,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1660546_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1660546_S1Weak.tif,raw/train/images/1660546.tif,1663215,e515018c45c07aa768a705f12842464afbeed4b5636f1c1e0d9a1e97562d9d7d
train,1660546,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1660546_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1660546_S1OtsuLabelWeak.tif,raw/train/labels/1660546.tif,2444,e038908b251b522f6ff15c4aa0ddccd1ea92fef1b3e1d57a1b72f2ed08f8c3ee
train,1676818,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1676818_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1676818_S1Weak.tif,raw/train/images/1676818.tif,1665794,3d31a1a206c3796c72fe57a681cfa68ea0c65b60539ad4f7e52e33567195c780
train,1676818,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1676818_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1676818_S1OtsuLabelWeak.tif,raw/train/labels/1676818.tif,3135,8c56e2df5435dfffada0b49eeb570f1e155c11d9c557b34e0a92d3e028f5469f
train,1677419,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1677419_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1677419_S1Weak.tif,raw/train/images/1677419.tif,1667990,0a0f7f933a14113bad03d1bd82b82d2eb27e87a12e26bd289ab018c4fbd7383a
train,1677419,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1677419_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1677419_S1OtsuLabelWeak.tif,raw/train/labels/1677419.tif,10894,cd27fcbe0bb2de07d20d1e269741b0be0a901cbc46c05113d83774d4b02020e6
train,1692173,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1692173_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1692173_S1Weak.tif,raw/train/images/1692173.tif,433926,eae15e1fe58814db011e53b9f996bbe78429ee56bcec8f27bd1cc24162b54192
train,1692173,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1692173_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1692173_S1OtsuLabelWeak.tif,raw/train/labels/1692173.tif,2243,bb9868cc951c1024cdf4bfee9a8703574d852b9409e51de98eb3e70e5a5fcde8
train,1713167,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1713167_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1713167_S1Weak.tif,raw/train/images/1713167.tif,1664240,1a7861b4c9db408c2e12f21b21a2e5171858dd8e5bcf3c12a07527f36bfcdf7f
train,1713167,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1713167_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1713167_S1OtsuLabelWeak.tif,raw/train/labels/1713167.tif,2308,7360ecfcc40f43f2d0eb32cf86bcfb710c9fbb400d83ddb1d10bf6170441acac
train,1714083,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1714083_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1714083_S1Weak.tif,raw/train/images/1714083.tif,1655771,6baa33df8b2fe7bbe7593c9e4ab7ca064070a64db66dc57ac5e8dec465e7eede
train,1714083,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1714083_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1714083_S1OtsuLabelWeak.tif,raw/train/labels/1714083.tif,1803,cc6d86069f7a2c469384d4a1c37ecbcac631ae5f5012367581eac9c47ce8f928
train,1723408,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1723408_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1723408_S1Weak.tif,raw/train/images/1723408.tif,1663120,2f71a420b8d44dcf1e589cd06fe638ec703a5c3862e42b7c08d24f48f77e3ac6
train,1723408,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1723408_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1723408_S1OtsuLabelWeak.tif,raw/train/labels/1723408.tif,1629,1061656b8fceab444718efa10dc5ae7edd491ab890191b2f6e9722aef8f41485
train,1792524,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1792524_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1792524_S1Weak.tif,raw/train/images/1792524.tif,1703775,4f5ba68b1009ab2ceb6b285a7554551787e69950c2c764e2ef24b11db452e51d
train,1792524,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1792524_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1792524_S1OtsuLabelWeak.tif,raw/train/labels/1792524.tif,2305,29a08c7f9fe59967a334b02d12169756f8bad620403a0848512387918bb96b66
